Performing Artist/ Talent Name,Stage Name (from Stages),DAY OF SHOW,Programming Time (from DOS),Soundcheck Time (from DOS),Set Time Start,Set Time End,Upload your Artist Press Photo,# Confirmed Greenrooms,Green Room Sched,Greenroom Start,Greenroom End
MAU P,LIGHTNING,FRIDAY MAY 22ND,5/22/2026 1:00 AM - 3:00 AM,5/22/2026 9:00 AM - 11:00 AM,12:00 AM,2:00 AM,MAU P - RIDER 2025 (2).pdf (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/iYqG7uG8lKGA5iqQuWbSYA/fORayxdXu-8UpMi-CPe7g4r7XY2q0cQcQgEwJXeFx4Om0VTvd8LDd3Vpldp3VJEKhRZS2pe2N5fJvNmzQbmdWM7AsuXAGnAAq5v4nbu7hFrvqpvruLvlMBJD49yUs1KWDusVQ-28w2FwxXkMUq-iIaSc1GFmi1xQrX4Vp_XiUrY/d_nDDYNpWIQ0f9u1zczAHPDslDu721tJTwIM59DkO7I),2.0,"MAU P-Greenroom-GR Trailer 1,MAU P-Greenroom-GR Trailer 2","5/22/2026 8:00am, 5/22/2026 8:00am","5/23/2026 3:00am, 5/23/2026 3:00am"
OVERMONO,LIGHTNING,FRIDAY MAY 22ND,5/22/2026 3:00 AM - 7:00 AM,5/22/2026 12:00 PM - 12:45 PM,10:30 pm,11:30 pm,Overmono 2026 Press Shot.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/gGm9T4FkOP09eb9yfyfhig/7Hu_0Kjkzb2G-CP_btzxA4MHcMlYdOi-W3Kh8z_BA76jTHWC6uhdPl1WS_KjN8zle33ABgbDf6ggDRlssgqxDbTSB-BQ9_WeUyjPlamLWHc-FB30TfY3jPho0ZQ58y4dSMAifCqlj3jtwwEBY_nUoghGV1Uv7XRMUNMoBhu6dMdUOn_bh8C0IDyzWOpEfIns/Wn7xT7wE35QWI7vw40D9uYUvSdWpry5zmbVjYBR8qzE),2.0,"OVERMONO-Greenroom-GR Trailer 3,OVERMONO-Greenroom-GR Trailer 4","5/22/2026 10:00am, 5/22/2026 10:00am","5/23/2026 1:00am, 5/23/2026 1:00am"
NOGA EREZ,LIGHTNING,FRIDAY MAY 22ND,5/22/2026 1:00 PM - 3:00 PM,5/22/2026 1:00 PM - 3:00 PM,9:15 PM,10:15 PM,Noga Erez_Helmet_(photo credit_ Alice Rosati).jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/Hzk0or2BiCTrrMjsyzD_iw/bfy7zMo1byFjwM0ffQBnJgiIBDN2oR-DXM2XFBPatZG9_uE6T7tCx75PX5vQoIdJCMJR1MaYMXDON7m_mII6jE0WIvF43CjA_G7GcvuOrdfgFUmn_qSCCNGwEF_CH__9lb45YibpJVEdlfhCxzs69N97S66FpWhRkfhOe2KfxUpGll8wIoLm5BDkhPrP4eo6SpkKB35kJsgbtczw8k3IIQ/LNjAR9STHF2tO5kzbzfWGuLEG7sQyQMBOw9Ew_DCnlA),1.0,NOGA EREZ-Greenroom-GR Trailer 8,5/22/2026 7:30pm,5/23/2026 12:00am
MIDNIGHT GENERATION,LIGHTNING,FRIDAY MAY 22ND,,5/22/2026 3:00 PM - 5:00 PM,7:45 PM,9:00 PM,2 2.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/lK2-Dg7V6BRWSWN_CMaCKA/6HgYvmw3rDpgEghGXgqw436ppSl_ecMOB3c0Ab6EDHTCYGXBV3HSfuzpERtTMhC94E_KDUv2B8QDEBpOOx1T2-m6pKrQPqjfDUPG4WsCwFSoBj6ulazSDfJgzwzkdfq0zJLRdC0bJrbWG9F62dO6jQ/JKOo30T8u9IO0BL1o2LBZD3re8TGLur93FKk0prJZas),1.0,MIDNIGHT GENERATION-Greenroom-GR Trailer 10,5/22/2026 5:00pm,5/22/2026 11:00pm
KAMAUU,LIGHTNING,FRIDAY MAY 22ND,,5/22/2026 5:00 PM - 5:45 PM,6:15 pm,7:15 pm,2O6A2345.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/yik-OaNHBfpncKlELqhJbg/qDm7B9oKLXhaMeQ0I342vXTgdC1x6qSKrIBK7bacfSlEX7xXvHp4wB9JBVPk5HvKiNgKADnC9rgrtHoEWPlU0TarCL_0WrCrqjqaCeeQr8GyS48wA472rQhWRA9fyAfMvTeJWq4aqlsppmJNKe795otyeXY23Qax0XLx7mRns8I/nkNa12_0IAXTkhY7iLhkLvKecJ7-AUlWT4PUO7U4bW0),1.0,KAMAUU-Greenroom-GR Trailer 12,5/22/2026 4:30pm,5/22/2026 9:30pm
CHASE & STATUS,LIGHTNING,SATURDAY MAY 23RD,5/23/2026 2:15 AM - 4:15 AM,9:00 AM - 11:00 AM,12:30 AM,2:00 AM,C&S Press.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/PD0usqM3Sn0Effh4G8amFg/dWo2USxAGdbQjuEPk8T4ZPKeChEOmNzO8aBL9f4U8uNXDiVw6NSDjb-NCL90jzIa_DEvKTaz4THfsd8mJps0j4WOBTjlE-zzo7Kiue_iWQaGEMGWSpx-assY3sPkbW6aPjovroAG8TY9lWMHPgOwXYSGeOLetVVFr29CzeDA_oM/ocwIVunlpYQ78qliS-AhJFRp7KwlLhMJGO-Nv2mY8Qk),1.0,CHASE & STATUS-Greenroom-GR Trailer 6,5/22/2026 8:00am,5/23/2026 3:00am
BARRY CAN'T SWIM,LIGHTNING,SATURDAY MAY 23RD,5/23/2026 4:15 AM - 6:30 AM,,10:45 pm,12:15 am,Screenshot 2026-05-21 at 2.03.32 AM.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/wjTjlyFSeKilEQBmJtHrvQ/_ANrYthr4iC--TJmjBLa6NH1yHUdjYwTKb_07DF9DNZbPiZmY4LCwyMX0j64xruGupmuGBJF4gZfvFnV8ityE-Nh8rYb6pdMZU5_9Y_MuyzS9Q8MzI8oYEtDJ4bx8s6YfOzfmVlhZTp6ypoRsL_On7rgl0tq8bQdbjMYqu7RlgArSexl8vnnJ3JFNbunj6QQ/yAEhV866GI0TWgqm80MV6aLCBHBpWTZ1x8SdjREqz6U),2.0,"BARRY CAN'T SWIM-Greenroom-GR Trailer 4,BARRY CAN'T SWIM-Greenroom-","5/22/2026 10:00am, 5/22/2026 10:00am","5/23/2026 2:00am, 5/23/2026 2:00am"
NIA ARCHIVES,LIGHTNING,SATURDAY MAY 23RD,,5/23/2026 12:00 PM - 2:30 PM,9:30 PM,10:30 PM,col3.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/WibRmMFZc4evrcUM8sNS0g/vQgQOG4QMid1xqaaGic1Pc-e3e69gDO4xDoFC_0NVZ4DsAv7OpWFNCHlmNCuCYIZLLKmzUBFNYlwep9V0urSYNog85KJEU85iKf6_-J1MakdQ4lUV0LiVkWNfJ3oHwBShjb-VZJTK02TNi-yr-PYzQ/L0w9ANtwBziOCx7tGoAuaVyj1MGM2GSSU55E64AcaqU),3.0,"NIA ARCHIVES-Greenroom-GR Trailer 1,NIA ARCHIVES-Greenroom-GR Trailer 2,NIA ARCHIVES-Greenroom-GR Trailer 3","5/22/2026 12:30pm, 5/22/2026 12:30pm, 5/22/2026 12:30pm","5/23/2026 12:30am, 5/23/2026 12:30am, 5/23/2026 12:30am"
TRIXIE MATTEL,LIGHTNING,SATURDAY MAY 23RD,,5/23/2026 2:30 PM - 3:30 PM,8:15 PM,9:15 PM,Screenshot 2026-05-21 at 2.05.47 AM.png (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/vnF1qo2oc2CyGX0AjWetNw/ylMw2qIJ9uvS3mFCVBda_R-XAgnBwWceKwfi-8tCdVNL9czb5xj85cJRXwji5a4HuG8oioWPKqzzZzwIQ79Wr369L-OpWLAYbjB2GCRUARgU0mUzP-EiGVfJGzHPMQxK0XWa6FEI32RKfzbl0_cN76L9cj81FJ3WPlhXiF54PARSSvj_vQS80-eBiSTo035Z/UIsXgjnnj_cURIaXQpW-9mCzORUJtVWeZC-VFWh4sr0),,"TRIXIE MATTEL-Greenroom-GR Trailer 13,TRIXIE MATTEL-Greenroom-GR Trailer 15,TRIXIE MATTEL-Greenroom-GR Tent 2","5/22/2026 1:30pm, 5/22/2026 1:30pm, 5/22/2026 1:30pm","5/22/2026 11:00pm, 5/22/2026 11:00pm, 5/22/2026 11:00pm"
RM47,LIGHTNING,SATURDAY MAY 23RD,,5/23/2026 5:00 PM - 6:00 PM,7:00 PM,8:00 PM,RM47 LIB PRESS 1.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1779400800000/XRYPCCjHltpZ8OIgH0lu2Q/-qPP-dfaz6jfvYm3t8vfFBBcf9DB4Jcu0ontOce9yrFFstfu_u8zhBjfcI2EBk3Djt_ks7KcKUwXbgcYDWruGpzG6yTe1jUejh-HSAtcN6Gla0v8gH8XTTptl3yAJNAZYVmcMvd_DbfCVZ0v6VhzxxuSxGybwl714dz-SA8IRBM/ZSqUummSciG6SojjutpXgXsF39KuKHRKnM0G8PzzJ5E),1.0,RM47-Greenroom-GR Trailer 14,5/23/2026 5:30pm,5/23/2026 10:00pm
